"Day.of.the.year","Start.Time.hr.using.military.time","End.Time.hr.using.military.time","Duration.hr","Duration.min","Activity.Code","Diary.category","PUCID.productype","sheds.id.refined","PUCID.PT.description","Personal.or.Communal","Clusters","Indoor.outdoor","periodicity","dur.actural","dur.theory.combine","new.cluster.PUC","new.cluster.name","fni.list","freq.list","agg.fold.list","freq.float","flag","household.index","person.index","person.gender","person.age","use.ht","use.act","use.mass","Primary.person"
1,0.333333333333333,8.33333333333333,8,480,6,"adult_non_work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,1,"M",27,NA,NA,NA,1
1,8.33333333333333,8.9,0.567,34,3,"adult_non_work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,1,"M",27,NA,NA,NA,1
1,8.9,8.92395878480511,0.024,1.438,-2,"adult_non_work","PC.0500.060","PC.0500.060.099.F","body hygiene , hand soap","Personal","","I",291.2,NA,0.024,NA,NA,"3","4",1,4.945,124,82,1,"M",27,1.438,0,0.331,1
1,8.92395878480511,8.95611925325545,0.032,1.93,-2,"adult_non_work","PC.0500.010","PC.0500.010.099.F","body hygiene , bar soap","Personal","","I",478.685,NA,0.032,NA,NA,"3","3",1,3.008,41,82,1,"M",27,1.93,0,2.631,1
1,8.95611925325545,8.98333460351604,0.027,1.633,-2,"adult_non_work","PC.0500.070","PC.0500.070.099.F","body hygiene , hand wipes","Personal","","I",478.685,NA,0.027,NA,NA,"3","3",1,3.008,41,82,1,"M",27,1.633,0,1.409,1
1,8.98333460351604,9.00189880954385,0.019,1.114,-2,"adult_non_work","PC.0900.070","PC.0900.070.099.F","dental care , toothpaste","Personal","Teeth care","I",728,NA,0.019,"PC.0900.070.099.F","Teeth care--gxngyglf","3","2",1,1.978,41,82,1,"M",27,1.114,0,1.102,1
1,9.00189880954385,9.02529394884704,0.023,1.404,-2,"adult_non_work","PC.0500.050","PC.0500.050.050.F","body hygiene , hand sanitizer","Personal","","I",960,NA,0.023,NA,NA,"3","1",1,1.5,41,82,1,"M",27,1.404,0,8.156,1
1,9.02529394884704,9.04366941617873,0.018,1.103,-2,"adult_non_work","PC.2300.080","PC.2300.080.099.F","make-up and related , lip balm","Personal","","I",970.667,NA,0.018,NA,NA,"3","1",1,1.484,41,82,1,"M",27,1.103,0,0.885,1
1,9.04366941617873,9.51344265721442,0.47,28.186,-2,"adult_non_work","CP.0400.040","CP.0400.040.099.F","dishwasher and dishes , dish soap","Communal","","I",1134.545,NA,0.47,NA,NA,"3","2",1,1.269,41,82,1,"M",27,28.186,0,103.552,1
1,9.51344265721442,9.73086252370542,0.217,13.045,-2,"adult_non_work","CP.0700.040","CP.0700.040.099.F","general household cleaning , surface cleaner","Communal","","I",1440,NA,0.217,NA,NA,"3","1",1,1,41,82,1,"M",27,13.045,0,17.835,1
