"Day.of.the.year","Start.Time.hr.using.military.time","End.Time.hr.using.military.time","Duration.hr","Duration.min","Activity.Code","Diary.category","PUCID.productype","sheds.id.refined","PUCID.PT.description","Personal.or.Communal","Clusters","Indoor.outdoor","periodicity","dur.actural","dur.theory.combine","new.cluster.PUC","new.cluster.name","fni.list","freq.list","agg.fold.list","freq.float","flag","household.index","person.index","person.gender","person.age","use.ht","use.act","use.mass","Primary.person"
1,8.16666666666667,8.45,0.283,17,3,"adult_work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1,"M",41,NA,NA,NA,1
1,8.45,8.47466043550067,0.025,1.48,-2,"adult_work","PC.0500.060","PC.0500.060.099.F","body hygiene , hand soap","Personal","","I",291.2,NA,0.025,NA,NA,"3","5",1,4.945,204,31,1,"M",41,1.48,0,0.43,1
1,8.47466043550067,8.49932087100134,0.025,1.48,-2,"adult_work","PC.0500.060","PC.0500.060.099.F","body hygiene , hand soap","Personal","","I",291.2,NA,0.025,NA,NA,"3","5",1,4.945,204,31,1,"M",41,1.48,0,0.43,1
1,8.49932087100134,8.55379132049434,0.054,3.268,-2,"adult_work","PC.0500.010","PC.0500.010.099.F","body hygiene , bar soap","Personal","","I",478.685,NA,0.054,NA,NA,"3","3",1,3.008,41,31,1,"M",41,3.268,0,1.123,1
1,8.55379132049434,8.57227988966966,0.018,1.109,-2,"adult_work","PC.0500.070","PC.0500.070.099.F","body hygiene , hand wipes","Personal","","I",478.685,NA,0.018,NA,NA,"3","3",1,3.008,41,31,1,"M",41,1.109,0,1.595,1
1,8.57227988966966,8.58333333333333,0.011,0.663,-1,"adult_work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1,"M",41,NA,NA,NA,1
1,8.58333333333333,8.83333333333333,0.25,15,2,"adult_work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1,"M",41,NA,NA,NA,1
1,8.83333333333333,11.6,2.767,166,7,"adult_work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1,"M",41,NA,NA,NA,1
1,11.6,12.3666666666667,0.767,46,5,"adult_work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1,"M",41,NA,NA,NA,1
1,12.3666666666667,17.75,5.383,323,7,"adult_work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1,"M",41,NA,NA,NA,1
1,17.75,18,0.25,15,1,"adult_work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1,"M",41,NA,NA,NA,1
