PUCID_productype,PUCID_refined,New.Description,refined,personal_communal,indoor_outdoor,cluster,Prev_hh,Prev_hh_yes,Prev_M,Prev_F,Prev_child,Freq,Freq_CV,HT,HT_CV,AT,Mass,Mass_CV
CP.0300.040,CP.0300.040.099.F,"carpet and floor , floor polish NOC",1,Communal,I,Home cleaning,NA,1,0.2,0.8,0,2,1,30,0.6,0,550,1
CP.0400.020,#N/A,#N/A,0,Communal,,Dishwashing,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP.0400.020,CP.0400.020.099.F,"dishwasher and dishes , automatic dishwashing additive NOC",1,Communal,I,Dishwashing,NA,1,0.2,0.8,0,364,0,3,0.6,0,20,1
CP.0400.030,#N/A,#N/A,0,Communal,,Dishwashing,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP.0400.030,CP.0400.030.051.F,"dishwasher and dishes , automatic dishwashing detergent gel",1,Communal,I,Dishwashing,NA,0.33,0.2,0.8,0,364,0,3,0.6,0,50,1
CP.0400.030,CP.0400.030.053.F,"dishwasher and dishes , automatic dishwashing detergent powder",1,Communal,I,Dishwashing,NA,0.33,0.2,0.8,0,364,0,3,0.6,0,200,1
CP.0400.030,CP.0400.030.099.F,"dishwasher and dishes , automatic dishwashing detergent NOC",1,Communal,I,Dishwashing,NA,0.34,0.2,0.8,0,364,0,3,0.6,0,200,1
CP.0400.040,#N/A,#N/A,0,Communal,,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP.0400.040,CP.0400.040.099.F,"dishwasher and dishes , dish soap NOC",1,Communal,I,0,NA,1,0.2,0.8,0,462,0,30,0.6,0,100,1
CP.0500.010,#N/A,#N/A,0,Communal,,Home cleaning,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP.0500.010,CP.0500.010.099.F,"drain , drain NOC",1,Communal,I,Home cleaning,NA,1,0.2,0.8,0,4,1,15,0.6,0,500,1
CP.0600.010,#N/A,#N/A,0,Communal,,0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP.0600.010,CP.0600.010.099.F,"fireplace , fireplace NOC",1,Communal,I,0,NA,1,0.2,0.8,0,2,1,30,0.6,0,50,1
CP.0700.010,#N/A,#N/A,0,Communal,,Laundry,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP.0700.010,CP.0700.010.099.F,"general household cleaning , bleach NOC",1,Communal,I,Laundry,NA,1,0.2,0.8,0,104,0.3,3,0.6,0,50,1
CP.0700.020,#N/A,#N/A,0,Communal,,Home cleaning,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP.0700.020,CP.0700.020.050.F,"general household cleaning , disinfectant spray",1,Communal,I,Home cleaning,NA,0.5,0.2,0.8,0,364,0,5,0.6,0,23,1
CP.0700.020,CP.0700.020.099.F,"general household cleaning , disinfectant NOC",1,Communal,I,Home cleaning,NA,0.5,0.2,0.8,0,364,0,5,0.6,0,23,1
CP.0700.030,#N/A,#N/A,0,Communal,,Home cleaning,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP.0700.030,CP.0700.030.050.F,"general household cleaning , glass cleaner spray",1,Communal,I,Home cleaning,NA,0.5,0.2,0.8,0,72,0.3,20,0.6,0,20,1
CP.0700.030,CP.0700.030.099.F,"general household cleaning , glass cleaner NOC",1,Communal,I,Home cleaning,NA,0.5,0.2,0.8,0,72,0.3,20,0.6,0,20,1
CP.0700.040,#N/A,#N/A,0,Communal,,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP.0700.040,CP.0700.040.050.F,"general household cleaning , surface cleaner spray",1,Communal,I,0,NA,0.5,0.2,0.8,0,364,0,15,0.6,0,20,1
CP.0700.040,CP.0700.040.099.F,"general household cleaning , surface cleaner NOC",1,Communal,I,0,NA,0.5,0.2,0.8,0,364,0,15,0.6,0,20,1
CP.0800.010,#N/A,#N/A,0,Personal,,0,NA,NA,0.3,0.3,0.3,NA,NA,NA,NA,NA,NA,NA
CP.0800.010,CP.0800.010.099.F,"hand cleaner , hand cleaner NOC",1,Personal,I,0,NA,NA,1,1,1,52,0.3,2,0.6,0,20,1
CP.0900.010,#N/A,#N/A,0,Communal,,Home cleaning,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP.0900.010,CP.0900.010.050.F,"heavy duty cleaner , heavy duty cleaner spray",1,Communal,I,Home cleaning,NA,0.5,0.2,0.8,0,180,0.3,30,0.6,0,50,1
CP.0900.010,CP.0900.010.099.F,"heavy duty cleaner , heavy duty cleaner NOC",1,Communal,I,Home cleaning,NA,0.5,0.2,0.8,0,180,0.3,30,0.6,0,50,1
CP.1000.010,#N/A,#N/A,0,Communal,,0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP.1000.010,CP.1000.010.050.F,"houseplant care , houseplant care spray",1,Communal,I,0,NA,0.5,0.2,0.8,0,52,0.3,10,0.6,0,20,1
CP.1000.010,CP.1000.010.099.F,"houseplant care , houseplant care NOC",1,Communal,I,0,NA,0.5,0.2,0.8,0,52,0.3,10,0.6,0,20,1
CP.1100.010,#N/A,#N/A,0,Communal,,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP.1100.010,CP.1100.010.099.F,"lamp oil/lighter fluid , lamp oil/lighter fluid NOC",1,Communal,I,0,NA,1,0.2,0.8,0,12,0.3,5,0.6,5,10,1
CP.1200.010,#N/A,#N/A,0,Communal,,Laundry,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP.1200.010,CP.1200.010.099.F,"laundry and fabric treatment , dry cleaner NOC",1,Communal,I,Laundry,NA,1,0.2,0.8,0,12,0.3,5,0.6,0,3,1
CP.1200.020,#N/A,#N/A,0,Communal,,Laundry,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP.1200.020,CP.1200.020.099.F,"laundry and fabric treatment , dryer sheets NOC",1,Communal,I,Laundry,NA,1,0.2,0.8,0,364,0,1,0.6,60,200,1
CP.1200.030,#N/A,#N/A,0,Communal,,Laundry,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CP.1200.030,CP.1200.030.099.F,"laundry and fabric treatment , fabric deodorizer NOC",1,Communal,I,Laundry,NA,1,0.2,0.8,0,104,0.3,15,0.6,0,50,1
CP.1200.040,#N/A,#N/A,0,Communal,,Laundry,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
