PUCID_productype,PUCID_refined,New Description,source.id,Old description,new/old match?,refined,personal_communal,indoor_outdoor,cluster,Prev_hh,Prev_hh_yes,Prev_M,Prev_F,Prev_child,Freq,Freq_CV,HT,HT_CV,AT,Mass,Mass_CV
HM.1600.010,#N/A,#N/A,P.HM.170,#N/A,#N/A,0,Communal,,#N/A,0.01,,,,,,,,,,,
#N/A,HM.1600.010.099.F,"plumbing , plumbing NOC",P.HM.170.000,plumbing,0,1,Communal,I,0,,1,0.2,0.8,0,12,0.3,60,0.6,0,50,1
HM.1400.050,#N/A,#N/A,P.HM.180,#N/A,#N/A,0,Communal,,#N/A,0.14,,,,,,,,,,,
#N/A,HM.1400.050.040.F,"paint/stain and related products , primer exterior",P.HM.180.005,primer exterior,0,1,Communal,O,Painting,,0.25,0.8,0.2,0,3.5,1,90,0.6,30,550,1
#N/A,HM.1400.050.041.F,"paint/stain and related products , primer interior",P.HM.180.009,primer interior,0,1,Communal,I,Painting,,0.25,0.2,0.8,0,3.5,1,90,0.6,30,550,1
#N/A,HM.1400.050.050.F,"paint/stain and related products , primer spray",P.HM.180.029,primer spray,0,1,Communal,I,Painting,,0.25,0.2,0.8,0,3.5,1,90,0.6,30,250,1
#N/A,HM.1400.050.099.F,"paint/stain and related products , primer NOC",P.HM.180.029,primer spray,0,1,Communal,I,Painting,,0.25,0.2,0.8,0,3.5,1,90,0.6,30,250,1
HM.1500.020,#N/A,#N/A,P.HM.190,#N/A,#N/A,0,Communal,,#N/A,0.4,,,,,,,,,,,
#N/A,HM.1500.020.099.F,"patch and repair , putty or filler NOC",P.HM.190.000,putty or filler,0,1,Communal,I,0,,1,0.2,0.8,0,3,1,30,1,0,100,1
HM.1700.010,#N/A,#N/A,P.HM.200,#N/A,#N/A,0,Communal,,#N/A,0.01,,,,,,,,,,,
#N/A,HM.1700.010.099.F,"refrigerant , refrigerant NOC",P.HM.200.000,refrigerant,0,1,Communal,I,0,,1,0.2,0.8,0,1,1,10,1,10,2,1
HM.1800.010,#N/A,#N/A,P.HM.210,#N/A,#N/A,0,Communal,,#N/A,0.01,,,,,,,,,,,
#N/A,HM.1800.010.099.F,"roof , roof NOC",P.HM.210.000,roof,0,1,Communal,O,0,,1,0.8,0.2,0,0.05,1,360,0.6,0,5000,1
HM.1900.010,#N/A,#N/A,P.HM.220,#N/A,#N/A,0,Communal,,#N/A,0.3,,,,,,,,,,,
#N/A,HM.1900.010.099.F,"septic system , septic system NOC",P.HM.220.000,septic system,0,1,Communal,I,0,,1,0.2,0.8,0,4,1,20,1,0,500,1
HM.1000.010,#N/A,#N/A,P.HM.230,#N/A,#N/A,0,Communal,,#N/A,0.3,,,,,,,,,,,
#N/A,HM.1000.010.099.F,"insulation , spray foam NOC",P.HM.230.000,spray foam,0,1,Communal,I,0,,1,0.2,0.8,0,0.2,1,30,1,0,825,1
HM.1400.060,#N/A,#N/A,P.HM.240,#N/A,#N/A,0,Communal,,#N/A,0.43,,,,,,,,,,,
#N/A,HM.1400.060.040.F,"paint/stain and related products , stain exterior",P.HM.240.005,stain exterior,0,1,Communal,O,0,,0.5,0.8,0.2,0,2,1,90,0.6,0,2000,1
#N/A,HM.1400.060.099.F,"paint/stain and related products , stain NOC",P.HM.240.005,stain exterior,0,1,Communal,O,0,,0.5,0.8,0.2,0,2,1,90,0.6,0,2000,1
HM.1400.070,#N/A,#N/A,P.HM.250,#N/A,#N/A,0,Communal,,#N/A,0.3,,,,,,,,,,,
#N/A,HM.1400.070.050.F,"paint/stain and related products , stripper spray",P.HM.250.029,stripper spray,0,1,Communal,I,Painting,,0.5,0.2,0.8,0,2,1,90,0.6,0,500,1
#N/A,HM.1400.070.099.F,"paint/stain and related products , stripper NOC",P.HM.250.029,stripper spray,0,1,Communal,I,Painting,,0.5,0.2,0.8,0,2,1,90,0.6,0,500,1
HM.2000.040,#N/A,#N/A,P.HM.260,#N/A,#N/A,0,Communal,,#N/A,0.4,,,,,,,,,,,
#N/A,HM.2000.040.040.F,"surface sealers , surface sealer exterior",P.HM.260.005,surface sealer exterior,0,1,Communal,O,0,,0.33,0.8,0.2,0,0.2,1,60,0.6,30,2250,1
#N/A,HM.2000.040.050.F,"surface sealers , surface sealer spray",P.HM.260.029,surface sealer spray,0,1,Communal,I,0,,0.33,0.2,0.8,0,1,1,30,1,30,100,1
#N/A,HM.2000.040.099.F,"surface sealers , surface sealer NOC",P.HM.260.029,surface sealer spray,0,1,Communal,I,0,,0.34,0.2,0.8,0,1,1,30,1,30,100,1
HM.2400.010,#N/A,#N/A,P.HM.270,#N/A,#N/A,0,Communal,,#N/A,0.01,,,,,,,,,,,
#N/A,HM.2400.010.099.F,"welding , welding NOC",P.HM.270.000,welding,0,1,Communal,OO,0,,1,0.8,0.2,0,4,1,60,1,0,20,1
HM.0100.030,#N/A,#N/A,P.HM.280,#N/A,#N/A,0,Communal,,#N/A,0.61,,,,,,,,,,,
#N/A,HM.0100.030.099.F,"adhesives and adhesive removers , wood adhesive NOC",P.HM.280.000,wood adhesive,0,1,Communal,I,0,,1,0.2,0.8,0,0.5,1,60,0.6,0,100,1
EL.0300.050,#N/A,#N/A,P.HO.010,#N/A,#N/A,0,Communal,,#N/A,0.4,,,,,,,,,,,
#N/A,EL.0300.050.099.F,"computers and accessories/supplies , printer ink NOC",P.HO.010.000,printer ink,0,1,Communal,I,0,,1,0.2,0.8,0,104,0.3,5,0.3,0,1,1
EL.0300.060,#N/A,#N/A,P.HO.020,#N/A,#N/A,0,Communal,,#N/A,0.4,,,,,,,,,,,
#N/A,EL.0300.060.099.F,"computers and accessories/supplies , printer toner NOC",P.HO.020.000,printer toner,0,1,Communal,I,0,,1,0.2,0.8,0,104,0.3,5,0.3,0,1,1
AC.0700.030,#N/A,#N/A,P.HO.030,#N/A,#N/A,0,Communal,,#N/A,,,0.02,0.02,0,,,,,,,
#N/A,AC.0700.030.099.F,"home office , white out NOC",P.HO.030.000,white out,0,1,Personal,I,0,,,1,1,1,12,0.3,5,0.3,0,3,1
CP.0100.010,#N/A,#N/A,P.IH.010,#N/A,#N/A,0,Communal,,#N/A,0.52,,,,,,,,,,,
#N/A,CP.0100.010.051.F,"air freshener , air freshener gel",P.IH.010.007,air freshener gel,0,1,Communal,I,0,,0.2,0.2,0.8,0,364,0,1,0.6,0,5,1
#N/A,CP.0100.010.052.F,"air freshener , air freshener liquid",P.IH.010.013,air freshener liquid,0,1,Communal,I,0,,0.2,0.2,0.8,0,364,0,1,0.6,0,5,1
#N/A,CP.0100.010.054.F,"air freshener , air freshener oil or diffuse",P.IH.010.016,air freshener oil or diffuse,0,1,Communal,I,0,,0.2,0.2,0.8,0,364,0,3,0.6,0,5,1
#N/A,CP.0100.010.099.F,"air freshener , air freshener NOC",P.IH.010.016,air freshener oil or diffuse,0,1,Communal,I,0,,0.2,0.2,0.8,0,364,0,3,0.6,0,5,1
#N/A,CP.0100.010.050.F,"air freshener , air freshener spray",P.IH.010.029,air freshener spray,0,1,Communal,I,0,,0.2,0.2,0.8,0,364,0,3,0.6,0,5,1
CP.0400.020,#N/A,#N/A,P.IH.020,#N/A,#N/A,0,Communal,,#N/A,0.4,,,,,,,,,,,
#N/A,CP.0400.020.099.F,"dishwasher and dishes , automatic dishwashing additive NOC",P.IH.020.000,automatic dishwashing additive,0,1,Communal,I,Dishwashing,,1,0.2,0.8,0,364,0,3,0.6,0,20,1
CP.0400.030,#N/A,#N/A,P.IH.030,#N/A,#N/A,0,Communal,,#N/A,0.8,,,,,,,,,,,
#N/A,CP.0400.030.051.F,"dishwasher and dishes , automatic dishwashing detergent gel",P.IH.030.007,automatic dishwashing detergent gel,0,1,Communal,I,Dishwashing,,0.33,0.2,0.8,0,364,0,3,0.6,0,50,1
#N/A,CP.0400.030.053.F,"dishwasher and dishes , automatic dishwashing detergent powder",P.IH.030.023,automatic dishwashing detergent powder,0,1,Communal,I,Dishwashing,,0.33,0.2,0.8,0,364,0,3,0.6,0,200,1
