PUCID_productype,NO2017,HUP,IUP,Seasonality,M,F,W,B,A,N,P,O,age0_5,age6_12,age13_15,age16_18,age19_49,age50plus,kownrent,sewdis,dishwash,stoven,cars,pcprint,swim,yard,Hot_Warm,Cool,Cold,personal_communal
HM.1400.070,,1,0,0,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,,,,Communal
HM.2000.040,,1,0,1,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,0,Communal
HM.2400.010,,1,0,0,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,,,,Communal
HM.0100.030,,1,0,0,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,,,,Communal
EL.0300.050,,1,0,0,,,,,,,,,,,,,,,1,1,1,1,1,0,1,1,,,,Communal
EL.0300.060,,1,0,0,,,,,,,,,,,,,,,1,1,1,1,1,0,1,1,,,,Communal
AC.0700.030,,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Communal
CP.0100.010,,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Communal
CP.0400.020,,1,0,0,,,,,,,,,,,,,,,1,1,0,1,1,1,1,1,,,,Communal
CP.0400.030,,1,0,0,,,,,,,,,,,,,,,1,1,0,1,1,1,1,1,,,,Communal
CP.0200.010,,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Communal
CP.0700.010,,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Communal
CP.0300.010,,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Communal
CP.0300.020,,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Communal
CP.0400.040,,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,Communal
CP.0700.020,,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,Communal
CP.0500.010,,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,,,,,,,,,,,,Communal
CP.1200.010,,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,Communal
CP.1200.020,,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Communal
EL.0400.010,,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,,,,,,,,,,,,Communal
CP.1200.030,,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Communal
CP.1200.040,,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,Communal
CP.1200.050,,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Communal
CP.0600.010,,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,,,,,,,,,,,,Communal
CP.0300.030,,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Communal
CP.0300.040,,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,Communal
CP.0700.030,,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,Communal
CP.0800.010,,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,Personal
CP.0900.010,,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Communal
