"","sheds_id","use_mass","use_freq","use_ht","use_act","use_aso","use_prev","gender","age_person","person_index","cluster"
"1","VE.0400.010.099.F",158.524123618668,13.5429256370222,11.2729020181704,0,11.2729020181704,0.8,"M",65,1,"Car Maintenance -2"
"2","HM.1400.010.040.F",3038.38599521345,2.50747248452456,126.131468283054,30,156.131468283054,0.8,"M",65,1,"Painting"
"3","HM.1400.040.099.F",549.51803625666,6.31501491246471,11.2868748764712,0,11.2868748764712,0.8,"F",68,1,"Painting"
"4","CP.0400.030.053.F",207.911814294564,364,4.79414442280625,0,4.79414442280625,0.8,"F",68,2,"Dishwashing"
"5","LY.0600.010.099.F",108.147120003061,13.2890338655318,34.5626817066744,30,64.5626817066744,0.8,"M",65,1,"Other Outdoor"
"6","LY.0600.030.099.F",10071.3089702553,5.79870466448896,33.9107946635466,0,33.9107946635466,0.8,"M",65,1,"Other Outdoor"
"7","LY.0800.010.099.F",1030.3481918464,4.57737357619988,22.3217611583074,0,22.3217611583074,0.8,"M",65,1,"Other Outdoor"
"8","PE.0400.010.099.F",26.4404908047687,28.2702171255428,5.70455543937277,0,5.70455543937277,0.8,"M",65,1,"Other Outdoor"
"9","PE.0400.020.050.F",528.55012446604,13.345163165008,11.5857707943716,0,11.5857707943716,0.8,"M",65,1,"Other Outdoor"
"10","HM.0100.020.099.F",11.3716757947104,54.4838427072325,28.6407193142266,0,28.6407193142266,0.8,"F",68,2,""
"11","HM.1500.020.099.F",112.031948954004,4.91054754918894,32.8781574950679,0,32.8781574950679,0.8,"F",68,2,""
"12","HM.1900.010.099.F",516.699455721836,7.77842743756248,21.6146486714478,0,21.6146486714478,0.8,"F",68,2,""
"13","HM.1400.060.099.F",2023.77659410672,4.68808226136682,99.3291976858851,0,99.3291976858851,0.8,"M",65,1,""
"14","HM.0100.030.099.F",113.550693760909,1.26969444733881,71.0403006696725,0,71.0403006696725,0.8,"F",68,2,""
"15","EL.0300.050.099.F",1.88870086736047,114.039332064602,6.81454571748752,0,6.81454571748752,0.8,"F",68,2,""
"16","PE.0300.020.050.F",1.72351656152665,53.9026062490402,10.9101178667434,0,10.9101178667434,0.8,"M",65,1,""
"17","PE.0400.030.099.F",61.4698034855731,28.5287431126991,6.34444303752381,0,6.34444303752381,0.8,"F",68,2,""
